"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"POPULARITY";"SPICEPREFIX";
"4";"";"10-XX";"B3F-10XX";"DAT0, EN, IO0, NRST";"OMRON SWITCH";"";"B3F-1000";"176432";"36M3542";"72";"";
"2";"";"LEDCHIPLED_0603";"CHIPLED_0603";"LED1, LED2";"LED";"";"";"";"";"28";"";
"7";"";"PINHD-1X2";"1X02";"ENABLE, GPIO0, JP5, JP6, JP7, JP8, NRESET";"PIN HEADER";"";"";"";"";"98";"";
"2";"";"PINHD-1X3";"1X03";"DEBUG_STM32, POWER";"PIN HEADER";"";"";"";"";"92";"";
"1";"";"PINHD-1X4";"1X04";"DOWNLOAD_STM32";"PIN HEADER";"";"";"";"";"91";"";
"1";"";"PINHD-1X5";"1X05";"DOWNLOAD_ESP32";"PIN HEADER";"";"";"";"";"69";"";
"1";"";"PINHD-1X6";"1X06";"JP2";"PIN HEADER";"";"";"";"";"79";"";
"2";"10";"R-EU_R0603";"R0603";"R1, R2";"RESISTOR, European symbol";"";"";"";"";"70";"R";
"3";"1nF";"C-USC0603";"C0603";"C1, C2, C3";"CAPACITOR, American symbol";"";"";"";"";"37";"C";
"2";"2k";"R-EU_R0603";"R0603";"R3, R4";"RESISTOR, European symbol";"";"";"";"";"70";"R";
"2";"2n7002";"NMOSSOT23";"SOT-23";"T1, T2";"MOS FET";"";"";"unknown";"unknown";"5";"";
"2";"FFC-CONNECT";"FFC-CONNECT";"SLW15S";"U$12, U$21";"";"";"";"";"";"";"";
